|-------------------------------------------------------------------------|
|   File Name : in_temp.dat
|   Subject   : temperature profiles used for initial guess atmosphere
|   File Type : input of gmtr
|   Data Type : atmospherical data
|   Author/s  : WRF-Chem
|   Date      : Fri Jul 26 15:39:24 2024
|-------------------------------------------------------------------------|

 WRF-Chem temperature
#
 values of T (K)    (8f10.5)
#
 209.97798 211.12869 211.36341 211.59713 211.53985 211.25057 210.88928 210.52500
 210.14772 209.86344 209.67716 209.54687 209.48059 209.81731 210.20903 210.60374
 211.40246 212.58618 213.84190 215.63062 217.56433 219.61305 221.71377 223.80249
 225.86821 227.95792 230.06064 232.17236 234.30708 236.48480 238.74651 241.12223
 243.74895 246.00567 248.01339 249.78410 251.20682 252.33554 253.16326 253.48498
 253.52769 253.30741 252.67313 251.62685 250.23857 248.40528 246.32000 244.15872
 241.95544 239.76516 237.59087 235.43559 233.30131 231.17403 229.20575 227.36846
 225.65718 224.13490 222.77062 221.54834 220.43605 219.40177 218.51149 217.65821
 216.90593 216.09164 215.19536 214.56508 214.02080 213.19910 211.26170 210.51411
 210.53075 211.19543 212.61653 215.13705 218.86398 223.65912 229.45679 234.50821
 238.35645 242.30315 246.56282 250.83894 254.68913 258.49768 261.40643 263.30228
 265.96829 268.74634 271.17560 273.11456 275.15698 277.15442 278.56131 279.95712
 281.61163 283.18442 284.67163 286.03088 287.21198 288.25717 289.21204 290.07913
 290.86334 291.56213 292.17972 292.99768
 366.78100 356.34042 345.77783 334.64925 323.05767 311.25708 299.13250 286.94092
 274.65834 262.56075 250.57517 239.88159 230.00900 221.11842 213.30584 206.31325
 200.15267 195.09609 191.68350 189.73092 188.77334 188.84276 189.68317 190.99659
 192.72701 194.82742 197.09584 199.46026 201.91067 204.39609 206.48951 208.33692
 209.96834 211.11876 211.35318 211.58659 211.52901 211.23943 210.87784 210.51326
 210.13568 209.85109 209.66451 209.53393 209.46734 209.80376 210.19518 210.58960
 211.38801 212.57143 213.82685 215.61526 217.54868 219.59710 221.69751 223.78593
 225.85135 227.94076 230.04318 232.15460 234.28902 236.46643 238.72785 241.10327
 243.72968 245.98610 247.99352 249.76393 251.18635 252.31477 253.14218 253.46360
 253.50602 253.28544 252.65085 251.60427 250.21569 248.38210 246.29652 244.13494
 241.93135 239.74077 237.56619 235.41060 233.27602 231.14844 229.17986 227.34227
 225.63069 224.10811 222.74352 221.52094 220.40836 219.37377 218.48319 217.62961
 216.87702 216.06244 215.16586 214.53528 213.99069 213.20834 211.36325 210.63232
 210.57692 211.22925 212.62624 215.11743 218.78612 223.56380 229.39317 234.43135
 238.27202 242.21419 246.48021 250.77261 254.64186 258.45279 261.36276 263.26804
 265.93372 268.71048 271.13184 273.04468 275.09396 277.12335 278.52841 279.90704
 281.54608 283.11398 284.58923 285.94742 287.12869 288.17548 289.13031 289.99710
 290.77975 291.48206 292.09750 292.92184
 366.78100 356.34007 345.77713 334.64820 323.05626 311.25533 299.13040 286.93846
 274.65553 262.55760 250.57166 239.87773 230.00479 221.11386 213.30093 206.30799
 200.14706 195.09012 191.67719 189.72426 188.76632 188.83539 189.67545 190.98852
 192.71859 194.81865 197.08672 199.45079 201.90085 204.38592 206.47898 208.32605
 209.95712 211.10718 211.34125 211.57431 211.51638 211.22645 210.86451 210.49958
 210.12164 209.83671 209.64978 209.51884 209.45191 209.78798 210.17904 210.57311
 211.37117 212.55424 213.80931 215.59737 217.53044 219.57850 221.67857 223.76664
